"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","2597087","Ot&#225;vio A. L.  Lemos and Adriano C.  de Paula and Felipe C.  Zanichelli and Cristina V.  Lopes","","","","Thesaurus-based Automatic Query Expansion for Interface-driven Code Search","212--221","","10","automatic query expansion, code search, software reuse","10.1145/2597073.2597087","","","","","","","2014","","Proceedings of the 11th Working Conference on Mining Software Repositories","MSR 2014","","978-1-4503-2863-0","Hyderabad, India","ACM","New York, NY, USA"
"article","1809184","Oleksandr  Panchenko and Arian  Treffer and Alexander  Zeier","","","","Towards Query Formulation and Visualization of Structural Search Results","33--36","","4","XPath, abstract syntax trees, program analysis, search results visualization, source code search, visual programming and program visualization","10.1145/1809175.1809184","","","","","","","2010","","Proceedings of 2010 ICSE Workshop on Search-driven Development: Users, Infrastructure, Tools and Evaluation","SUITE '10","","978-1-60558-962-6","Cape Town, South Africa","ACM","New York, NY, USA"
"article","2064083","Juan M. Fern&#225;ndez-Luna and Juan F. Huete and Julio C. Rodr&#237;guez-Cano","","","","User Intent Transition for Explicit Collaborative Search Through Groups Recommendation","23--28","","6","collaborative information retrieval, collaborative search, search driven software development, source code search","10.1145/2064075.2064083","","","","","","","2011","","Proceedings of the 3rd International Workshop on Collaborative Information Retrieval","CIR '11","","978-1-4503-0951-6","Glasgow, Scotland, UK","ACM","New York, NY, USA"
"article","2384689","Alon  Mishne and Sharon  Shoham and Eran  Yahav","","","","Typestate-based Semantic Code Search over Partial Programs","997--1016","","20","code search engine, ranking code samples, specification mining, static analysis, typestate","10.1145/2398857.2384689","SIGPLAN Not.","October 2012","47","10","","October","2012","0362-1340","","","","","","ACM","New York, NY, USA"
"article","2384689","Alon  Mishne and Sharon  Shoham and Eran  Yahav","","","","Typestate-based Semantic Code Search over Partial Programs","997--1016","","20","code search engine, ranking code samples, specification mining, static analysis, typestate","10.1145/2384616.2384689","","","","","","","2012","","Proceedings of the ACM International Conference on Object Oriented Programming Systems Languages and Applications","OOPSLA '12","","978-1-4503-1561-6","Tucson, Arizona, USA","ACM","New York, NY, USA"
"article","2486898","Sonia  Haiduc and Gabriele  Bavota and Andrian  Marcus and Rocco  Oliveto and Andrea  De Lucia and Tim  Menzies","","","","Automatic Query Reformulations for Text Retrieval in Software Engineering","842--851","","10","","","","","","","","","2013","","Proceedings of the 2013 International Conference on Software Engineering","ICSE '13","","978-1-4673-3076-3","San Francisco, CA, USA","IEEE Press","Piscataway, NJ, USA"
"article","3098361","Mohammad Masudur Rahman and Chanchal K. Roy and David  Lo","","","","RACK: Code Search in the IDE Using Crowdsourced Knowledge","51--54","","4","code search, crowdsourced knowledge, keyword-API association, query reformulation, stack overflow","10.1109/ICSE-C.2017.11","","","","","","","2017","","Proceedings of the 39th International Conference on Software Engineering Companion","ICSE-C '17","","978-1-5386-1589-8","Buenos Aires, Argentina","IEEE Press","Piscataway, NJ, USA"
"article","2892647","Oscar  Chaparro and Andrian  Marcus","","","","On the Reduction of Verbose Queries in Text Retrieval Based Software Maintenance","716--718","","3","query reduction, software maintenance, text retrieval","10.1145/2889160.2892647","","","","","","","2016","","Proceedings of the 38th International Conference on Software Engineering Companion","ICSE '16","","978-1-4503-4205-6","Austin, Texas","ACM","New York, NY, USA"
"article","3234962","Shihao  Zou and Guanyu  Tao and Jun  Wang and Weinan  Zhang and Dell  Zhang","","","","On the Equilibrium of Query Reformulation and Document Retrieval","43--50","","8","game theory, relevance feedback, retrieval model","10.1145/3234944.3234962","","","","","","","2018","","Proceedings of the 2018 ACM SIGIR International Conference on Theory of Information Retrieval","ICTIR '18","","978-1-4503-5656-5","Tianjin, China","ACM","New York, NY, USA"
"article","2993723","Zhixing  Li and Tao  Wang and Yang  Zhang and Yun  Zhan and Gang  Yin","","","","Query Reformulation by Leveraging Crowd Wisdom for Scenario-based Software Search","36--44","","9","crowd wisdom, query reformulation, software retrieval","10.1145/2993717.2993723","","","","","","","2016","","Proceedings of the 8th Asia-Pacific Symposium on Internetware","Internetware '16","","978-1-4503-4829-4","Beijing, China","ACM","New York, NY, USA"
"article","3236065","Mohammad Masudur  Rahman and Chanchal K.  Roy","","","","Improving IR-based Bug Localization with Context-aware Query Reformulation","621--632","","12","Debugging automation, bug localization, bug report quality, graph-based term weighting, information retrieval, query reformulation","10.1145/3236024.3236065","","","","","","","2018","","Proceedings of the 2018 26th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering","ESEC/FSE 2018","","978-1-4503-5573-5","Lake Buena Vista, FL, USA","ACM","New York, NY, USA"
"article","2970362","Mohammad Masudur  Rahman and Chanchal K.  Roy","","","","QUICKAR: Automatic Query Reformulation for Concept Location Using Crowdsourced Knowledge","220--225","","6","Query reformulation, Stack Overflow, adjacency list, crowdsourced knowledge, semantic relevance, word co-occurrence","10.1145/2970276.2970362","","","","","","","2016","","Proceedings of the 31st IEEE/ACM International Conference on Automated Software Engineering","ASE 2016","","978-1-4503-3845-5","Singapore, Singapore","ACM","New York, NY, USA"
"article","2884862","Xin  Ye and Hui  Shen and Xiao  Ma and Razvan  Bunescu and Chang  Liu","","","","From Word Embeddings to Document Similarities for Improved Information Retrieval in Software Engineering","404--415","","12","API documents, bug localization, bug reports, skip-gram model, word embeddings","10.1145/2884781.2884862","","","","","","","2016","","Proceedings of the 38th International Conference on Software Engineering","ICSE '16","","978-1-4503-3900-1","Austin, Texas","ACM","New York, NY, USA"
"article","632729","Sougata  Mukherjea and Kyoji  Hirata and Yoshinori  Hara","","","","AMORE: A World-wide Web Image Retrieval Engine","17--18","","2","clustering, image search, keyword search, query result visualization, world-wide web","10.1145/632716.632729","","","","","","","1999","","CHI '99 Extended Abstracts on Human Factors in Computing Systems","CHI EA '99","","1-58113-158-5","Pittsburgh, Pennsylvania","ACM","New York, NY, USA"
"article","956866","Bodo  Billerbeck and Falk  Scholer and Hugh E. Williams and Justin  Zobel","","","","Query Expansion Using Associated Queries","2--9","","8","query association, query expansion, web search","10.1145/956863.956866","","","","","","","2003","","Proceedings of the Twelfth International Conference on Information and Knowledge Management","CIKM '03","","1-58113-723-0","New Orleans, LA, USA","ACM","New York, NY, USA"
"article","2414783","Jinhan  Kim and Sanghoon  Lee and Seung-Won  Hwang and Sunghun  Kim","","","","Enriching Documents with Examples: A Corpus Mining Approach","1:1--1:27","1","27","API document, Clustering, code search, ranking","10.1145/2414782.2414783","ACM Trans. Inf. Syst.","January 2013","31","1","","January","2013","1046-8188","","","","","","ACM","New York, NY, USA"
"article","3022126","Hengyi  Fu","","","","Query Reformulation Patterns of Mixed Language Queries in Different Search Intents","249--252","","4","cross-language information retrieval, mixed language queries, query log analysis, query reformulation, search intents","10.1145/3020165.3022126","","","","","","","2017","","Proceedings of the 2017 Conference on Conference Human Information Interaction and Retrieval","CHIIR '17","","978-1-4503-4677-1","Oslo, Norway","ACM","New York, NY, USA"
"article","3195003","Mohammad Masudur Rahman and Chanchai K. Roy","","","","Improving Bug Localization with Report Quality Dynamics and Query Reformulation","348--349","","2","","10.1145/3183440.3195003","","","","","","","2018","","Proceedings of the 40th International Conference on Software Engineering: Companion Proceeedings","ICSE '18","","978-1-4503-5663-3","Gothenburg, Sweden","ACM","New York, NY, USA"
"article","1066922","Zhenyu  Liu and Wesley W. Chu","","","","Knowledge-based Query Expansion to Support Scenario-specific Retrieval of Medical Free Text","1076--1083","","8","automatic query expansion, knowledge-based approach, medical free-text retrieval","10.1145/1066677.1066922","","","","","","","2005","","Proceedings of the 2005 ACM Symposium on Applied Computing","SAC '05","","1-58113-964-0","Santa Fe, New Mexico","ACM","New York, NY, USA"
"article","306689","Essam A. El-Kwae and Mansur R. Kabuka","","","","A Robust Framework for Content-based Retrieval by Spatial Similarity in Image Databases","174--198","","25","content-based retrieval, image databases, multimedia databases, query formulation, retrieval models, similarity retrieval, spatial similarity","10.1145/306686.306689","ACM Trans. Inf. Syst.","April 1999","17","2","","April","1999","1046-8188","","","","","","ACM","New York, NY, USA"
"article","1641456","Leon  Derczynski and Jun  Wang and Robert  Gaizauskas and Mark A. Greenwood","","","","A Data Driven Approach to Query Expansion in Question Answering","34--41","","8","","","","","","","","","2008","","Coling 2008: Proceedings of the 2Nd Workshop on Information Retrieval for Question Answering","IRQA '08","","978-1-905593-55-2","Manchester, UK","Association for Computational Linguistics","Stroudsburg, PA, USA"
"article","1646422","Md Mahmudur Rahman and Prabir  Bhattacharya","","","","Image Retrieval with Automatic Query Expansion Based on Local Analysis in a Semantical Concept Feature Space","20:1--20:8","20","8","content-based image retrieval, query expansion, relevance feedback, support vector machine, vector space model","10.1145/1646396.1646422","","","","","","","2009","","Proceedings of the ACM International Conference on Image and Video Retrieval","CIVR '09","","978-1-60558-480-5","Santorini, Fira, Greece","ACM","New York, NY, USA"
"article","980774","Tomek  Strzalkowski and Jin  Wang and Bowden  Wise","","","","Summarization-based Query Expansion in Information Retrieval","1258--1264","","7","","10.3115/980691.980774","","","","","","","1998","","Proceedings of the 36th Annual Meeting of the Association for Computational Linguistics and 17th International Conference on Computational Linguistics - Volume 2","ACL '98/COLING '98","","","Montreal, Quebec, Canada","Association for Computational Linguistics","Stroudsburg, PA, USA"
"article","980774","Tomek  Strzalkowski and Jin  Wang and Bowden  Wise","","","","Summarization-based Query Expansion in Information Retrieval","1258--1264","","7","","10.3115/980432.980774","","","","","","","1998","","Proceedings of the 17th International Conference on Computational Linguistics - Volume 2","COLING '98","","","Montreal, Quebec, Canada","Association for Computational Linguistics","Stroudsburg, PA, USA"
"article","2362760","Anna  Mikkonen and Pertti  Vakkari","","","","Readers' Search Strategies for Accessing Books in Public Libraries","214--223","","10","fiction, fiction retrieval, public libraries, search tactics","10.1145/2362724.2362760","","","","","","","2012","","Proceedings of the 4th Information Interaction in Context Symposium","IIIX '12","","978-1-4503-1282-0","Nijmegen, The Netherlands","ACM","New York, NY, USA"
"article","1920918","HweeHwa  Pang and Xuhua  Ding and Xiaokui  Xiao","","","","Embellishing Text Search Queries to Protect User Privacy","598--607","","10","","10.14778/1920841.1920918","Proc. VLDB Endow.","September 2010","3","1-2","","September","2010","2150-8097","","","","","","VLDB Endowment",""
"article","319978","S.  Geffner and D.  Agrawal and A. El Abbadi and T.  Smith","","","","Browsing  Large Digital Library Collections Using Classification Hierarchies","195--201","","7","aggregation, browsing, classification, digital libraries, searching, summarization","10.1145/319950.319978","","","","","","","1999","","Proceedings of the Eighth International Conference on Information and Knowledge Management","CIKM '99","","1-58113-146-1","Kansas City, Missouri, USA","ACM","New York, NY, USA"
"article","379723","Elaine G. Toms and Joan C. Bartlett","","","","An Approach to Search for the Digital Library","341--342","","2","digital libraries, search interface, search tactics, searching","10.1145/379437.379723","","","","","","","2001","","Proceedings of the 1st ACM/IEEE-CS Joint Conference on Digital Libraries","JCDL '01","","1-58113-345-6","Roanoke, Virginia, USA","ACM","New York, NY, USA"
"article","2187999","Simon  Jonassen","","","","Scalable Search Platform: Improving Pipelined Query Processing for Distributed Full-text Retrieval","145--150","","6","distributed query processing, information retrieval, inverted index, query processing optimization, scalability","10.1145/2187980.2187999","","","","","","","2012","","Proceedings of the 21st International Conference on World Wide Web","WWW '12 Companion","","978-1-4503-1230-1","Lyon, France","ACM","New York, NY, USA"
"article","1871529","Guido  Sautter and Klemens  B&#246;hm and Andranik  Khachatryan","","","","Result-size Estimation for Information-retrieval Subqueries","709--718","","10","selectivity estimation, text retrieval, vector space model","10.1145/1871437.1871529","","","","","","","2010","","Proceedings of the 19th ACM International Conference on Information and Knowledge Management","CIKM '10","","978-1-4503-0099-5","Toronto, ON, Canada","ACM","New York, NY, USA"
"article","1277973","Wei  Chen and Jiajun  Bu and Kangmiao  Liu and Chun  Chen and Chen  Zhang","","","","A Full-text Retrieval Toolkit for Mobile Desktop Search","905--905","","1","full-text retrieval, mobile desktop search","10.1145/1277741.1277973","","","","","","","2007","","Proceedings of the 30th Annual International ACM SIGIR Conference on Research and Development in Information Retrieval","SIGIR '07","","978-1-59593-597-7","Amsterdam, The Netherlands","ACM","New York, NY, USA"
"article","320024","M. Catherine McCabe and Abdur  Chowdhury and David A. Grossman and Ophir  Frieder","","","","A Unified Environment for Fusion of Information Retrieval Approaches","330--334","","5","fusion, information retrieval, metasearch, retrieval, text","10.1145/319950.320024","","","","","","","1999","","Proceedings of the Eighth International Conference on Information and Knowledge Management","CIKM '99","","1-58113-146-1","Kansas City, Missouri, USA","ACM","New York, NY, USA"
"article","1390505","Xiaoya  Tang","","","","Enhancing Keyword-based Botanical Information Retrieval with Information Extraction","789--790","","2","botanical text retrieval, information extraction, information retrieval","10.1145/1390334.1390505","","","","","","","2008","","Proceedings of the 31st Annual International ACM SIGIR Conference on Research and Development in Information Retrieval","SIGIR '08","","978-1-60558-164-4","Singapore, Singapore","ACM","New York, NY, USA"
"article","1667071","Hweehwa  Pang and Jialie  Shen and Ramayya  Krishnan","","","","Privacy-preserving Similarity-based Text Retrieval","4:1--4:39","4","39","Privacy of search queries, security in text retrieval, singular value decomposition","10.1145/1667067.1667071","ACM Trans. Internet Technol.","February 2010","10","1","","February","2010","1533-5399","","","","","","ACM","New York, NY, USA"
"article","3098384","Chris  Mills and Sonia  Haiduc","","","","A Machine Learning Approach for Determining the Validity of Traceability Links","121--123","","3","classification, supervised machine learning, text retrieval, traceability","10.1109/ICSE-C.2017.86","","","","","","","2017","","Proceedings of the 39th International Conference on Software Engineering Companion","ICSE-C '17","","978-1-5386-1589-8","Buenos Aires, Argentina","IEEE Press","Piscataway, NJ, USA"
"article","2094077","Andreas  Broschart and Ralf  Schenkel","","","","High-performance Processing of Text Queries with Tunable Pruned Term and Term Pair Indexes","5:1--5:32","5","32","Index tuning, performance, proximity score, text retrieval","10.1145/2094072.2094077","ACM Trans. Inf. Syst.","February 2012","30","1","","March","2012","1046-8188","","","","","","ACM","New York, NY, USA"
"article","1458476","Hans F. Witschel","","","","Ranking Information Resources in Peer-to-peer Text Retrieval: An Experimental Study","75--82","","8","intelligent query routing, peer-to-peer information retrieval, profile adaptation, profiles, query expansion","10.1145/1458469.1458476","","","","","","","2008","","Proceedings of the 2008 ACM Workshop on Large-Scale Distributed Systems for Information Retrieval","LSDS-IR '08","","978-1-60558-254-2","Napa Valley, California, USA","ACM","New York, NY, USA"
"article","1555477","Qi  Guo and Ryan P. Kelly and Selden  Deemer and Arthur  Murphy and Joan A. Smith and Eugene  Agichtein","","","","EMU: The Emory User Behavior Data Management System for Automatic Library Search Evaluation","389--390","","2","data exploration, library search evaluation, user behavior modeling","10.1145/1555400.1555477","","","","","","","2009","","Proceedings of the 9th ACM/IEEE-CS Joint Conference on Digital Libraries","JCDL '09","","978-1-60558-322-8","Austin, TX, USA","ACM","New York, NY, USA"
"article","1321492","Rong  Yan and Alexander  Hauprmann","","","","Query Expansion Using Probabilistic Local Feedback with Application to Multimedia Retrieval","361--370","","10","multimedia retrieval, probabilistic local feedback, query expansion","10.1145/1321440.1321492","","","","","","","2007","","Proceedings of the Sixteenth ACM Conference on Conference on Information and Knowledge Management","CIKM '07","","978-1-59593-803-9","Lisbon, Portugal","ACM","New York, NY, USA"
"article","2824193","Lin-shan  Lee and James  Glass and Hung-yi  Lee and Chun-an  Chan","","","","Spoken Content Retrieval: Beyond Cascading Speech Recognition with Text Retrieval","1389--1420","","32","graph-based random walk, interactive retrieval, joint optimization, key term extraction, pseudo-relevance feedback, query by example, query expansion, semantic retrieval, spoken content retrieval, spoken term detection, summarization, unsupervised acoustic pattern discovery","10.1109/TASLP.2015.2438543","IEEE/ACM Trans. Audio, Speech and Lang. Proc.","September 2015","23","9","","September","2015","2329-9290","","","","","","IEEE Press","Piscataway, NJ, USA"
"article","2516637","B. Barla  Cambazoglu and Enver  Kayaaslan and Simon  Jonassen and Cevdet  Aykanat","","","","A Term-based Inverted Index Partitioning Model for Efficient Distributed Query Processing","15:1--15:23","15","23","Web search engine, distributed query processing, hypergraph partitioning, term-based index partitioning","10.1145/2516633.2516637","ACM Trans. Web","September 2013","7","3","","September","2013","1559-1131","","","","","","ACM","New York, NY, USA"
"article","2993727","Haibo  Yu and Wenhao  Song and Tsunenori  Mine","","","","APIBook: An Effective Approach for Finding APIs","45--53","","9","API recommendation, API search, information retrieval, program analysis","10.1145/2993717.2993727","","","","","","","2016","","Proceedings of the 8th Asia-Pacific Symposium on Internetware","Internetware '16","","978-1-4503-4829-4","Beijing, China","ACM","New York, NY, USA"
"article","1572169","Nattiya  Kanhabua","","","","Exploiting Temporal Information in Retrieval of Archived Documents","848--848","","1","language models, query expansion, ranking, temporal search","10.1145/1571941.1572169","","","","","","","2009","","Proceedings of the 32Nd International ACM SIGIR Conference on Research and Development in Information Retrieval","SIGIR '09","","978-1-60558-483-6","Boston, MA, USA","ACM","New York, NY, USA"
"article","3155159","Tran Viet Xuan Phuong and Tho Thi Ngoc Le","","","","Efficient Secure Text Retrieval on Multi-Keyword Search","270--277","","8","Text retrieval, computational security, keyword search, ranking, secret sharing","10.1145/3155133.3155159","","","","","","","2017","","Proceedings of the Eighth International Symposium on Information and Communication Technology","SoICT 2017","","978-1-4503-5328-1","Nha Trang City, Viet Nam","ACM","New York, NY, USA"
"article","502120","Weiyi  Meng and Zonghuan  Wu and Clement  Yu and Zhuogang  Li","","","","A Highly Scalable and Effective Method for Metasearch","310--335","","26","Database selection, distributed text retrieval, metasearch engine, resource discovery","10.1145/502115.502120","ACM Trans. Inf. Syst.","July 2001","19","3","","July","2001","1046-8188","","","","","","ACM","New York, NY, USA"
"article","2786855","Caitlin  Sadowski and Kathryn T.  Stolee and Sebastian  Elbaum","","","","How Developers Search for Code: A Case Study","191--201","","11","code search, developer tools, user evaluation","10.1145/2786805.2786855","","","","","","","2015","","Proceedings of the 2015 10th Joint Meeting on Foundations of Software Engineering","ESEC/FSE 2015","","978-1-4503-3675-8","Bergamo, Italy","ACM","New York, NY, USA"
"article","355219","Rowena  Chau and Chung-Hsing  Yeh","","","","Explorative Multilingual Text Retrieval Based on Fuzzy Multilingual Keyword Classification","33--40","","8","document classification, fuzzy clustering, keyword classification, multilingual text retrieval","10.1145/355214.355219","","","","","","","2000","","Proceedings of the Fifth International Workshop on on Information Retrieval with Asian Languages","IRAL '00","","1-58113-300-6","Hong Kong, China","ACM","New York, NY, USA"
"article","305120","Noriko  Kando and Kyo  Kageura and Masaharu  Yoshioka and Keizo  Oyama","","","","Phrase Processing Methods for Japanese Text Retrieval","23--28","","6","Japanese text retrieval character-based indexing, character-based indexing, phrase processing, word-based query segmentation","10.1145/305110.305120","SIGIR Forum","Sept. 1998","32","2","","September","1998","0163-5840","","","","","","ACM","New York, NY, USA"
"article","1460040","Abolfazl  AleAhmad and Hadi  Amiri and Masoud  Rahgozar and Farhad  Oroumchian","","","","Experiments with English-Persian Text Retrieval","77--80","","4","Farsi bilingual text retrieval, Persian English cross language","10.1145/1460027.1460040","","","","","","","2008","","Proceedings of the 2Nd ACM Workshop on Improving Non English Web Searching","iNEWS '08","","978-1-60558-416-4","Napa Valley, California, USA","ACM","New York, NY, USA"
"article","2486888","Jinshui  Wang and Xin  Peng and Zhenchang  Xing and Wenyun  Zhao","","","","Improving Feature Location Practice with Multi-faceted Interactive Exploration","762--771","","10","","","","","","","","","2013","","Proceedings of the 2013 International Conference on Software Engineering","ICSE '13","","978-1-4673-3076-3","San Francisco, CA, USA","IEEE Press","Piscataway, NJ, USA"
"article","2820304","Fabian  Beck and Bogdan  Dit and Jaleo  Velasco-Madden and Daniel  Weiskopf and Denys  Poshyvanyk","","","","Rethinking User Interfaces for Feature Location","151--162","","12","","","","","","","","","2015","","Proceedings of the 2015 IEEE 23rd International Conference on Program Comprehension","ICPC '15","","","Florence, Italy","IEEE Press","Piscataway, NJ, USA"
"article","1076074","Trevor  Strohman and Howard  Turtle and W. Bruce Croft","","","","Optimization Strategies for Complex Queries","219--225","","7","efficiency, indexing, query processing","10.1145/1076034.1076074","","","","","","","2005","","Proceedings of the 28th Annual International ACM SIGIR Conference on Research and Development in Information Retrieval","SIGIR '05","","1-59593-034-5","Salvador, Brazil","ACM","New York, NY, USA"
"article","1096643","Jes&#250;s  Vilares and Carlos  G&#243;mez-Rodr&#237;guez and Miguel A. Alonso","","","","Managing Syntactic Variation in Text Retrieval","162--164","","3","information retrieval, natural language processing, shallow parsing","10.1145/1096601.1096643","","","","","","","2005","","Proceedings of the 2005 ACM Symposium on Document Engineering","DocEng '05","","1-59593-240-2","Bristol, United Kingdom","ACM","New York, NY, USA"
"article","1277992","Hans Friedrich Witschel","","","","Global Resources for Peer-to-peer Text Retrieval","923--923","","1","peer-to-peer information retrieval, query routing, term weighting","10.1145/1277741.1277992","","","","","","","2007","","Proceedings of the 30th Annual International ACM SIGIR Conference on Research and Development in Information Retrieval","SIGIR '07","","978-1-59593-597-7","Amsterdam, The Netherlands","ACM","New York, NY, USA"
"article","1389634","Michalis  Sfakakis and Sarantos  Kapidakis","","","","Enhance the Interoperability of the Library Search Systems with zSAPN","40:1--40:7","40","7","Z39.50, interoperability, semantic access point substitution","10.1145/1389586.1389634","","","","","","","2008","","Proceedings of the 1st International Conference on PErvasive Technologies Related to Assistive Environments","PETRA '08","","978-1-60558-067-8","Athens, Greece","ACM","New York, NY, USA"
"article","999434","Wei  Zhao and Lu  Zhang and Yin  Liu and Jiasu  Sun and Fuqing  Yang","","","","SNIAFL: Towards a Static Non-Interactive Approach to Feature Location","293--303","","11","","","","","","","","","2004","","Proceedings of the 26th International Conference on Software Engineering","ICSE '04","","0-7695-2163-0","","IEEE Computer Society","Washington, DC, USA"
"article","2983955","Hongyu  Zhang and Anuj  Jain and Gaurav  Khandelwal and Chandrashekhar  Kaushik and Scott  Ge and Wenxiang  Hu","","","","Bing Developer Assistant: Improving Developer Productivity by Recommending Sample Code","956--961","","6","API, API Usage Extraction, Code Search, GitHub, Software Reuse","10.1145/2950290.2983955","","","","","","","2016","","Proceedings of the 2016 24th ACM SIGSOFT International Symposium on Foundations of Software Engineering","FSE 2016","","978-1-4503-4218-6","Seattle, WA, USA","ACM","New York, NY, USA"
"article","2493177","Yuexian  Hou and Xiaozhao  Zhao and Dawei  Song and Wenjie  Li","","","","Mining Pure High-order Word Associations via Information Geometry for Information Retrieval","12:1--12:32","12","32","Word association, information geometry, pure high-order dependence, text classification, text retrieval","10.1145/2493175.2493177","ACM Trans. Inf. Syst.","July 2013","31","3","","August","2013","1046-8188","","","","","","ACM","New York, NY, USA"
"article","944016","Allison L. Powell and James C. French","","","","Comparing the Performance of Collection Selection Algorithms","412--456","","45","Collection selection, database selection, distributed information retrieval, distributed text retrieval, metasearch engine, resource discovery, resource ranking, resource selection, server ranking, server selection, text retrieval","10.1145/944012.944016","ACM Trans. Inf. Syst.","October 2003","21","4","","October","2003","1046-8188","","","","","","ACM","New York, NY, USA"
"article","1811139","Anand  Kumar and Yi-Cheng  Tu","","","","Exploiting Locality for Query Processing and Compression in Scientific Databases","13--18","","6","data compression, query processing","10.1145/1811136.1811139","","","","","","","2010","","Proceedings of the Fourth SIGMOD PhD Workshop on Innovative Database Research","IDAR '10","","978-1-4503-0191-6","Indianapolis, Indiana","ACM","New York, NY, USA"
